infectedDate,infected
2020-02-24,1
2020-02-25,1
2020-02-26,5
2020-02-27,7
2020-02-28,7
2020-02-29,13
2020-03-01,19
2020-03-02,26
2020-03-03,32
2020-03-04,35
2020-03-05,35
2020-03-06,40
2020-03-07,54
2020-03-08,60
2020-03-09,60
2020-03-10,71
2020-03-11,71
2020-03-12,71
2020-03-13,101
2020-03-14,110
2020-03-15,116
2020-03-16,124
2020-03-17,154
2020-03-18,164
2020-03-19,192
2020-03-20,208
2020-03-21,214
2020-03-22,233
2020-03-23,266
2020-03-24,316
2020-03-25,346
2020-03-26,382
2020-03-27,458
2020-03-28,506
2020-03-29,547
2020-03-30,630
2020-03-31,694
2020-04-01,728
2020-04-02,772
2020-04-03,820
2020-04-04,878
2020-04-05,961
2020-04-06,1031
2020-04-07,1122
2020-04-08,1202
2020-04-09,1232
2020-04-10,1279
2020-04-11,1318
2020-04-12,1352
2020-04-13,1378
2020-04-14,1400
2020-04-15,1415
2020-04-16,1434
2020-04-17,1482
2020-04-18,1513
2020-04-19,1539
2020-04-20,1574
2020-04-21,1602
2020-04-22,1631
2020-04-23,1677
2020-04-24,1708
2020-04-25,1763
2020-04-26,1820
2020-04-27,1847
2020-04-28,1928
2020-04-29,2003
2020-04-30,2085
2020-05-01,2153
2020-05-02,2219
2020-05-03,2296
2020-05-04,2346
2020-05-05,2431
2020-05-06,2480
2020-05-07,2543
2020-05-08,2603
2020-05-09,2679
2020-05-10,2767
2020-05-11,2818
2020-05-12,2913
2020-05-13,3032
2020-05-14,3143
2020-05-15,3193
2020-05-16,3260
2020-05-17,3404
2020-05-18,3554
2020-05-19,3611
2020-05-20,3724
2020-05-21,3877
2020-05-22,3964
2020-05-23,4272
2020-05-24,4469
2020-05-25,4632
2020-05-26,4848
2020-05-27,5135
2020-05-28,5457
2020-05-29,5873
2020-05-30,6179
2020-05-31,6439
2020-06-01,6868
2020-06-02,7387
2020-06-03,8168
2020-06-04,8840
2020-06-05,9846
2020-06-06,11098
2020-06-07,12366
2020-06-08,13481
2020-06-09,14268
2020-06-10,15414
2020-06-11,16675
2020-06-12,17770
2020-06-13,18950
2020-06-14,20209
2020-06-15,21315
2020-06-16,22700
2020-06-17,24254
2020-06-18,25717
2020-06-19,27352
2020-06-20,29222
2020-06-21,30868
2020-06-22,32676
2020-06-23,34502
2020-06-24,36702
2020-06-25,39139
2020-06-26,41193
2020-06-27,43262
2020-06-28,45402
2020-06-29,47151
2020-06-30,49109
2020-07-01,51524
2020-07-02,53708
2020-07-03,56020
2020-07-04,58354
2020-07-05,60479
2020-07-06,62275
2020-07-07,64701
2020-07-08,67442
2020-07-09,69612
2020-07-10,72460
2020-07-11,75194
2020-07-12,77506
2020-07-13,79735
2020-07-14,81757
2020-07-15,83867
2020-07-16,86148
2020-07-17,88171
2020-07-18,90220
2020-07-19,92530
2020-07-20,94693
2020-07-21,97159
2020-07-22,99865
2020-07-23,102226
2020-07-24,104711
2020-07-25,107573
2020-07-26,110032
2020-07-27,112585
2020-07-28,115332
2020-07-29,118300
2020-07-30,121263
2020-07-31,124609
2020-08-01,126704
2020-08-02,129151
2020-08-03,131886
2020-08-04,134722
2020-08-05,137556
2020-08-06,140603
2020-08-07,144064
2020-08-08,147389
2020-08-09,150115
2020-08-10,153599
2020-08-11,156995
2020-08-12,160436
2020-08-13,164277
2020-08-14,168290
2020-08-15,172583
2020-08-16,176931
2020-08-17,180133
2020-08-18,184709
2020-08-19,188802
2020-08-20,192797
2020-08-21,197085
2020-08-22,201050
2020-08-23,204341
2020-08-24,207985
2020-08-25,211947
2020-08-26,215784
2020-08-27,219435
2020-08-28,223612
2020-08-29,227446
2020-08-30,231177
2020-08-31,234934
2020-09-01,238338
2020-09-02,242284
2020-09-03,247039
2020-09-04,252075
2020-09-05,256719
2020-09-06,260370
2020-09-07,264684
2020-09-08,269578
2020-09-09,273821
2020-09-10,278418
2020-09-11,282672
2020-09-12,286778
2020-09-13,290309
2020-09-14,294478
2020-09-15,298702
2020-09-16,303059
2020-09-17,307385
2020-09-18,311690
2020-09-19,315597
2020-09-20,319035
2020-09-21,322856
2020-09-22,327580
2020-09-23,332635
2020-09-24,337106
2020-09-25,341699
2020-09-26,345969
2020-09-27,349450
2020-09-28,353566
2020-09-29,358290
2020-09-30,362981
2020-10-01,367474
2020-10-02,372259
2020-10-03,375931
2020-10-04,379141
2020-10-05,382949
2020-10-06,387121
2020-10-07,391044
2020-10-08,394566
2020-10-09,397780
2020-10-10,400124
2020-10-11,402330
2020-10-12,405437
2020-10-13,409358
2020-10-14,413215
2020-10-15,416802
2020-10-16,420303
2020-10-17,423524
2020-10-18,426634
2020-10-19,430678
2020-10-20,434598
2020-10-21,438265
2020-10-22,442164
2020-10-23,445949
2020-10-24,449153
2020-10-25,451707
2020-10-26,455398
2020-10-27,459908
2020-10-28,463951
2020-10-29,467755
2020-10-30,470633
2020-10-31,472630
2020-11-01,475288
2020-11-02,478701
2020-11-03,482296
2020-11-04,485870
2020-11-05,489571
2020-11-06,493139
2020-11-07,496019
2020-11-08,498549
2020-11-09,501733
2020-11-10,505310
2020-11-11,508508
2020-11-12,511806
2020-11-13,514496
2020-11-14,516915
2020-11-15,519152
2020-11-16,521542
2020-11-17,524503
2020-11-18,526852
2020-11-19,529226
2020-11-20,531769
2020-11-21,533555
2020-11-22,535321
2020-11-23,537457
2020-11-24,539749
2020-11-25,542187
2020-11-26,544670
2020-11-27,547215
2020-11-28,548821
2020-11-29,550435
2020-11-30,552549
2020-12-01,554767
2020-12-02,556728
2020-12-03,558767
2020-12-04,560622
2020-12-05,562520
2020-12-06,564200
2020-12-07,566015
2020-12-08,568138
2020-12-09,569873
2020-12-10,571253
2020-12-11,572600
2020-12-12,573622
2020-12-13,574634
2020-12-14,575972
2020-12-15,577363
2020-12-16,578916
2020-12-17,580449
2020-12-18,581811
2020-12-19,583118
2020-12-20,584145
2020-12-21,585345
2020-12-22,586503
2020-12-23,587676
2020-12-24,588803
2020-12-25,589943
2020-12-26,590779
2020-12-27,591597
2020-12-28,592528
2020-12-29,593541
2020-12-30,594442
2020-12-31,595291
2021-01-01,596193
2021-01-02,597033
